model,dataset,n_agents,n_matched_cols,n_categorical,n_numeric,n_free_text,entropy_oracle_median,entropy_agent_median,kl_median,bleu_global,rouge1,rouge2,rougeL,meteor,bertscore_f1,success_rate,avg_field_coverage,tgc,median_tgc,factual_accuracy,median_factual_accuracy,relevance_mean,relevance_median,report_path
gemma2:27b,data_VTC_survey,200,136,80,0,0,0.8516,0.6791,3.0582,0.0002,0.0015,0.0001,0.0014,0.0004,0.8827,1.0,1.0,0.3685,0.3625,0.5724,0.6079,0.0,0.0,evaluations/gemma2:27b/data_VTC_survey/evaluation_report.txt
gemma2:9b,data_VTC_survey,200,136,67,0,0,0.8601,0.657,3.6462,0.0002,0.0015,0.0002,0.0014,0.0004,0.8843,1.0,1.0,0.3883,0.3806,0.6045,0.6579,0.0,0.0,evaluations/gemma2:9b/data_VTC_survey/evaluation_report.txt
gemma3:27b,data_VTC_survey,200,136,79,0,0,0.859,0.5853,3.2831,0.0004,0.0021,0.0002,0.0019,0.0005,0.8862,1.0,1.0,0.383,0.3797,0.5837,0.58,0.0,0.0,evaluations/gemma3:27b/data_VTC_survey/evaluation_report.txt
gpt-oss:20b,data_VTC_survey,200,136,75,0,0,0.8577,0.6887,1.4416,0.0005,0.0014,0.0002,0.0012,0.0003,0.8967,1.0,0.9766,0.41,0.4,0.6382,0.6512,0.0,0.0,evaluations/gpt-oss:20b/data_VTC_survey/evaluation_report.txt
llama3.1:8b,data_VTC_survey,200,136,40,1,0,0.8218,0.7291,2.2675,0.0004,0.0021,0.0002,0.0019,0.0005,0.8799,1.0,1.0,0.4508,0.4348,0.5825,0.6295,0.0,0.0,evaluations/llama3.1:8b/data_VTC_survey/evaluation_report.txt
llama3.3:70b,data_VTC_survey,200,136,60,0,0,0.8601,0.714,2.6892,0.0001,0.0015,0.0001,0.0014,0.0004,0.8872,1.0,1.0,0.4236,0.4,0.6745,0.7264,0.0,0.0,evaluations/llama3.3:70b/data_VTC_survey/evaluation_report.txt
mistral-nemo:12b,data_VTC_survey,200,136,84,0,0,0.8414,0.7362,1.9772,0.0003,0.0015,0.0001,0.0014,0.0004,0.8851,1.0,1.0,0.3704,0.3452,0.5367,0.4775,0.0,0.0,evaluations/mistral-nemo:12b/data_VTC_survey/evaluation_report.txt
mistral:7b,data_VTC_survey,200,136,60,0,0,0.8174,0.5674,1.219,0.0005,0.1094,0.0002,0.1092,0.0004,0.8909,0.995,0.9208,0.4007,0.3833,0.573,0.5225,0.0,0.0,evaluations/mistral:7b/data_VTC_survey/evaluation_report.txt
