model,dataset,n_agents,n_matched_cols,n_categorical,n_numeric,n_free_text,entropy_oracle_median,entropy_agent_median,kl_median,bleu_global,rouge1,rouge2,rougeL,meteor,bertscore_f1,success_rate,avg_field_coverage,tgc,median_tgc,factual_accuracy,median_factual_accuracy,relevance_mean,relevance_median,report_path
gemma2:27b,data_MyDailyTravelData,200,181,11,39,1,0.6088,0.5759,1.3106,0.0043,0.5566,0.0,0.5566,0.2348,0.9073,1.0,0.9993,0.4331,0.434,0.2348,0.175,0.3846,0.2369,evaluations/gemma2:27b/data_MyDailyTravelData/evaluation_report.txt
gemma2:9b,data_MyDailyTravelData,200,181,31,51,1,0.6765,0.5294,1.442,0.0045,0.7128,0.0,0.7128,0.29,0.9086,1.0,0.9464,0.3627,0.3732,0.3513,0.2727,0.5085,0.6508,evaluations/gemma2:9b/data_MyDailyTravelData/evaluation_report.txt
gemma3:27b,data_MyDailyTravelData,200,181,28,25,1,0.654,0.5429,8.2296,0.001,0.4468,0.0,0.4468,0.1902,0.8934,1.0,0.995,0.202,0.1919,0.151,0.0369,0.615,1.0,evaluations/gemma3:27b/data_MyDailyTravelData/evaluation_report.txt
gpt-oss:20b,data_MyDailyTravelData,200,181,31,40,1,0.7168,0.6392,3.6328,0.004,0.4676,0.0,0.4676,0.1925,0.8893,1.0,0.9509,0.2229,0.2384,0.4146,0.4127,0.3108,0.0,evaluations/gpt-oss:20b/data_MyDailyTravelData/evaluation_report.txt
llama3.1:8b,data_MyDailyTravelData,200,181,27,49,1,0.669,0.669,1.4473,0.0043,0.5555,0.0,0.5555,0.2329,0.904,1.0,0.9982,0.3088,0.3127,0.2509,0.1908,0.4011,0.1372,evaluations/llama3.1:8b/data_MyDailyTravelData/evaluation_report.txt
llama3.3:70b,data_MyDailyTravelData,200,181,31,48,1,0.7168,0.7115,1.6202,0.0044,0.6289,0.0,0.6289,0.26,0.9046,1.0,0.9974,0.3685,0.3935,0.4125,0.373,0.4565,0.3102,evaluations/llama3.3:70b/data_MyDailyTravelData/evaluation_report.txt
mistral-nemo:12b,data_MyDailyTravelData,200,181,35,39,1,0.7436,0.6894,5.5876,0.0043,0.5676,0.0,0.5676,0.2373,0.8894,1.0,0.9558,0.2375,0.2482,0.3766,0.2326,0.4072,0.2947,evaluations/mistral-nemo:12b/data_MyDailyTravelData/evaluation_report.txt
mistral:7b,data_MyDailyTravelData,200,181,34,40,1,0.6922,0.65,3.2029,0.0042,0.538,0.0,0.538,0.2275,0.8888,1.0,0.8981,0.2475,0.2541,0.405,0.3146,0.3636,0.0,evaluations/mistral:7b/data_MyDailyTravelData/evaluation_report.txt
