Model,Dataset,Dimension,Mean,Std,Median,Min,Max,N,Distribution
gemma2:27b,data_lyon_EDGT,accuracy,2.76,1.97,1.0,1,5,45800,"1: 25368, 3: 505, 4: 33, 5: 19894"
gemma2:27b,data_lyon_EDGT,relevance,2.76,1.97,1.0,1,5,45800,"1: 25368, 3: 505, 4: 33, 5: 19894"
gemma2:27b,data_lyon_EDGT,coherence,2.76,1.97,1.0,1,5,45800,"1: 25368, 3: 505, 4: 33, 5: 19894"
gemma2:27b,data_lyon_EDGT,completeness,2.77,1.98,1.0,1,5,45800,"1: 25368, 4: 538, 5: 19894"
gemma2:27b,data_lyon_EDGT,fluency,3.88,0.99,3.0,3,5,45800,"3: 25368, 4: 538, 5: 19894"
