model,dataset,n_agents,n_matched_cols,n_categorical,n_numeric,n_free_text,entropy_oracle_median,entropy_agent_median,kl_median,bleu_global,rouge1,rouge2,rougeL,meteor,bertscore_f1,success_rate,avg_field_coverage,tgc,median_tgc,factual_accuracy,median_factual_accuracy,relevance_mean,relevance_median,report_path
gemma2:27b,data_MyDailyTravelData,200,181,82,80,1,0.4344,0.5853,5.9152,0.0043,0.5566,0.0,0.5566,0.2348,0.9496,1.0,0.9829,0.193,0.1984,0.1335,0.0,0.3846,0.2369,evaluations_mdts/gemma2:27b/data_MyDailyTravelData/evaluation_report.txt
gemma2:9b,data_MyDailyTravelData,200,181,89,73,1,0.6666,0.5436,2.1243,0.0045,0.7128,0.0,0.7128,0.29,0.9606,1.0,0.9348,0.2132,0.2332,0.1879,0.0059,0.5085,0.6508,evaluations_mdts/gemma2:9b/data_MyDailyTravelData/evaluation_report.txt
gemma3:27b,data_MyDailyTravelData,200,181,87,74,2,0.6093,0.503,12.9357,0.001,0.4907,0.0,0.4907,0.2077,0.9402,1.0,0.9948,0.1464,0.1482,0.146,0.01,0.3615,0.0,evaluations_mdts/gemma3:27b/data_MyDailyTravelData/evaluation_report.txt
gpt-oss:20b,data_MyDailyTravelData,200,181,82,80,1,0.6636,0.6586,4.8494,0.004,0.4676,0.0,0.4676,0.1925,0.9386,1.0,0.9593,0.177,0.1957,0.2734,0.0286,0.3108,0.0,evaluations_mdts/gpt-oss:20b/data_MyDailyTravelData/evaluation_report.txt
llama3.1:8b,data_MyDailyTravelData,200,181,82,80,1,0.66,0.6558,2.0644,0.0043,0.5555,0.0,0.5555,0.2329,0.9507,1.0,0.9963,0.2174,0.2284,0.1986,0.014,0.4011,0.1372,evaluations_mdts/llama3.1:8b/data_MyDailyTravelData/evaluation_report.txt
llama3.3:70b,data_MyDailyTravelData,200,181,84,78,1,0.6623,0.7615,1.6202,0.0044,0.6289,0.0,0.6289,0.26,0.9556,1.0,0.9951,0.2493,0.2647,0.2632,0.015,0.4565,0.3102,evaluations_mdts/llama3.3:70b/data_MyDailyTravelData/evaluation_report.txt
mistral-nemo:12b,data_MyDailyTravelData,200,181,93,69,1,0.6765,0.7041,12.5361,0.0043,0.5676,0.0,0.5676,0.2373,0.951,1.0,0.9689,0.1699,0.1943,0.2466,0.01,0.4072,0.2947,evaluations_mdts/mistral-nemo:12b/data_MyDailyTravelData/evaluation_report.txt
mistral:7b,data_MyDailyTravelData,200,181,87,75,1,0.6577,0.6909,7.4486,0.0042,0.538,0.0,0.538,0.2275,0.9484,1.0,0.8959,0.1649,0.1778,0.2474,0.025,0.3636,0.0,evaluations_mdts/mistral:7b/data_MyDailyTravelData/evaluation_report.txt
