Model,Dataset,Dimension,Mean,Std,Median,Min,Max,N,Distribution
gemma2:9b,data_lyon_EDGT,accuracy,2.72,1.97,1.0,1,5,45800,"1: 25765, 3: 676, 5: 19359"
gemma2:9b,data_lyon_EDGT,relevance,2.72,1.97,1.0,1,5,45800,"1: 25765, 3: 676, 5: 19359"
gemma2:9b,data_lyon_EDGT,coherence,2.72,1.97,1.0,1,5,45800,"1: 25765, 3: 676, 5: 19359"
gemma2:9b,data_lyon_EDGT,completeness,2.74,1.97,1.0,1,5,45800,"1: 25765, 4: 676, 5: 19359"
gemma2:9b,data_lyon_EDGT,fluency,3.86,0.98,3.0,3,5,45800,"3: 25765, 4: 676, 5: 19359"
