Model,Dataset,Dimension,Mean,Std,Median,Min,Max,N,Distribution
gemma2:9b,data_pmus_yaounde,accuracy,2.92,0.89,3.0,1,5,6800,"1: 863, 3: 5137, 4: 400, 5: 400"
gemma2:9b,data_pmus_yaounde,relevance,2.92,0.89,3.0,1,5,6800,"1: 863, 3: 5137, 4: 400, 5: 400"
gemma2:9b,data_pmus_yaounde,coherence,2.92,0.89,3.0,1,5,6800,"1: 863, 3: 5137, 4: 400, 5: 400"
gemma2:9b,data_pmus_yaounde,completeness,3.68,1.05,4.0,1,5,6800,"1: 863, 4: 5537, 5: 400"
gemma2:9b,data_pmus_yaounde,fluency,3.93,0.43,4.0,3,5,6800,"3: 863, 4: 5537, 5: 400"
